#####################################################################
# Alchemist log file - simulation started at: 2019-02-22T06:52+0000 #
#####################################################################
# seed = 132.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] leader-rep[CountDistinct] distance-share[Mean] leader-share[CountDistinct] 
0.0 NaN NaN NaN NaN 
1.0000327414005177 0.0 235.0 0.0 234.0 
2.004427840888689 0.0 144.0 0.0 156.0 
3.0048438455390794 0.0 100.0 0.0 129.0 
4.001007949457563 0.0 81.0 0.0 107.0 
5.002243378409072 0.0 71.0 0.0 98.0 
6.000335286696197 0.0 59.0 0.0 96.0 
7.002974931060469 0.0 55.0 0.0 95.0 
8.000523143178068 6.198579733403993E-4 47.0 0.0 92.0 
9.000934230974929 0.021159940101573696 44.0 0.0 90.0 
10.000609768251639 0.39741418827257835 43.0 0.0 83.0 
11.000655560610117 0.9969199052482159 40.0 0.0 80.0 
12.000780137449729 2.0152033802504117 38.0 0.0 75.0 
13.003525259667594 3.2688298232132893 37.0 0.0 74.0 
14.001327302763297 4.154576790155002 36.0 0.0 74.0 
15.000696872075538 4.7265321488166085 34.0 0.0 72.0 
16.00038951164826 4.733618049917893 33.0 0.0 71.0 
17.00047417397879 5.054297517725687 32.0 0.0 69.0 
18.000816656392477 5.8582356642663695 32.0 0.0 68.0 
19.003055154040077 6.181989531661962 31.0 0.0 66.0 
20.00085020207263 6.108787496423339 31.0 0.0 63.0 
21.00700110534242 6.17399959962761 30.0 0.0 62.0 
22.00292383358277 6.284436340968594 28.0 0.0 60.0 
23.001010845986045 6.688751880756543 27.0 0.0 57.0 
24.001997111960556 6.934997648544981 26.0 0.0 57.0 
25.00180934883961 7.29375694616177 26.0 0.0 57.0 
26.003322889022865 7.803397948423129 24.0 0.0 56.0 
27.000438982252966 8.156651041160456 21.0 0.0 56.0 
28.001409890070477 8.376163274286544 21.0 0.0 57.0 
29.000856993856605 8.480250207138726 22.0 0.0 56.0 
30.000938672348795 8.79374455956522 22.0 0.0 56.0 
31.00090129103609 8.787071495084152 21.0 0.0 56.0 
32.00387592635611 8.82158181364544 20.0 0.0 55.0 
33.00016042737986 9.798387518381489 18.0 0.0 52.0 
34.00036683593234 9.497526039143535 18.0 0.0 51.0 
35.0028885375087 9.658541981036647 17.0 0.0 51.0 
36.001619807350714 8.785702482131189 16.0 0.0 50.0 
37.00170149126217 6.950632723588785 17.0 0.0 49.0 
38.00116907611564 7.547472951037472 18.0 0.0 49.0 
39.00020168581249 7.804277568345557 18.0 0.0 48.0 
40.001177379259886 7.345112975842161 18.0 0.0 47.0 
41.00109064503141 7.2309346195784086 18.0 0.0 47.0 
42.002729490500165 7.0418543210909625 16.0 0.0 47.0 
43.003396620729205 7.024963727661722 16.0 0.0 47.0 
44.00094741535467 6.493397940130793 16.0 0.0 47.0 
45.00254519565974 6.874496531265417 15.0 0.0 47.0 
46.003101793222655 7.183005203649336 15.0 0.0 49.0 
47.000456244972064 6.920280541423955 16.0 0.0 49.0 
48.00116120350487 6.876443931273142 16.0 0.0 49.0 
49.00084113965363 6.840379473986688 16.0 0.0 49.0 
50.001478970015896 7.250521173521423 16.0 0.0 47.0 
51.002476787738395 7.1818096955841915 16.0 0.0 47.0 
52.007554739381554 7.408685025518306 16.0 0.0 47.0 
53.00096146310803 6.96337316215537 15.0 0.0 46.0 
54.0000726468123 7.460768741996623 14.0 0.0 45.0 
55.00181420259092 8.501307316488992 12.0 0.0 45.0 
56.00088579200566 9.532969904539273 12.0 0.0 45.0 
57.00329395902594 9.709441550948869 12.0 0.0 44.0 
58.010202705999134 9.292600035283929 12.0 0.0 44.0 
59.000080360745876 9.277217340560222 12.0 0.0 43.0 
60.004258046405425 9.224530047098163 12.0 0.0 42.0 
61.00348872301158 9.594243167520517 12.0 0.0 42.0 
62.00088752925477 9.166645058930355 11.0 0.0 42.0 
63.0008200335268 8.635386221376795 14.0 0.006967787450405946 42.0 
64.00042756904136 8.194286667429129 14.0 0.006967787450405946 41.0 
65.00008212981582 8.707481243238147 12.0 0.006967787450405946 41.0 
66.00341533772809 9.13491752905698 12.0 0.02169646549325069 41.0 
67.00091988189365 8.900176667966983 12.0 0.028872008460860885 41.0 
68.0032566754554 8.45492085842539 12.0 0.04326154486713276 41.0 
69.00230458358918 8.274163091926876 12.0 0.05843172914067253 41.0 
70.00292947814127 8.322705839732711 13.0 0.015170184273539746 41.0 
71.0002099492539 8.63877688818153 15.0 0.015170184273539746 41.0 
72.00137972910743 8.051322749758754 13.0 0.01904790154849727 39.0 
73.00018103987134 7.513406210694703 13.0 0.019095543848820538 40.0 
74.00046721283734 7.5561467440289904 13.0 0.019620820482867663 38.0 
75.00035502827596 7.734456212822617 13.0 0.0 37.0 
76.00041532413732 7.882434655605737 13.0 0.0 37.0 
77.00254664040813 8.059726034868762 13.0 0.0 37.0 
78.00168167614025 7.839399801385914 13.0 0.0 36.0 
79.00041005886146 7.903759045798551 12.0 0.017258291531974217 35.0 
80.00652067408072 8.73139216474546 12.0 0.017258291531974217 35.0 
81.00359725294274 9.020431533843455 12.0 0.0168947920856047 35.0 
82.00589944825495 9.214143359281751 12.0 0.0 35.0 
83.00093930229222 9.120733567177403 12.0 0.0 35.0 
84.00007381285718 8.097740619333845 12.0 0.007750756691580874 35.0 
85.00132176023213 7.599418138633059 12.0 0.007750756691580874 35.0 
86.00056746417597 7.818122460271668 12.0 0.0 35.0 
87.00332241308013 7.690279158633718 12.0 0.0 34.0 
88.0004399656983 7.580587576473225 12.0 0.0 34.0 
89.00426378881275 7.445492758713267 12.0 0.0 34.0 
90.006229953645 7.447397167353613 12.0 0.0 32.0 
91.00375000964266 7.7048949939414975 12.0 0.0 32.0 
92.00085691171316 8.138281695828667 12.0 0.002735454543219173 32.0 
93.00026087550161 8.098593401417379 12.0 0.015611066581954292 32.0 
94.00083523441083 8.645618465209818 11.0 0.015611066581954292 32.0 
95.0015782788116 8.786670473845476 11.0 0.015611066581954292 31.0 
